source,line,energy_raw,cross_section_raw,uncertainty_raw,status,prefit_standardized_residual
z_boson_data_1.csv,2,85,0.0784,0.0874,outside_coursework_energy_window,
z_boson_data_1.csv,3,85.096,0.0734,0.0831,retained,-0.04371119532228285
z_boson_data_1.csv,4,85.1919,0.0735,0.0878,retained,-0.06834310436089369
z_boson_data_1.csv,5,85.2879,0.0779,0.0667,retained,-0.06277276032217197
z_boson_data_1.csv,6,85.3838,0.0826,0.0665,retained,-0.03298387287966141
z_boson_data_1.csv,7,85.4798,0.0893,0.0642,retained,0.025960376874657326
z_boson_data_1.csv,8,85.5758,0.0911,0.0749,retained,0.006511802379689345
z_boson_data_1.csv,9,85.6717,0.0916,0.085,retained,-0.025127607051622317
z_boson_data_1.csv,10,85.7677,0.1044,0.076,retained,0.09710129031305122
z_boson_data_1.csv,11,85.8636,0.0918,0.0911,retained,-0.0951620788472838
z_boson_data_1.csv,12,85.9596,0.1066,0.0866,retained,0.028853523971914485
z_boson_data_1.csv,13,86.0556,0.1057,0.0818,retained,-0.02720254305149929
z_boson_data_1.csv,14,86.1515,0.1035,0.062,retained,-0.13628976267215104
z_boson_data_1.csv,15,86.2475,0.1265,0.0731,retained,0.14092250126733447
z_boson_data_1.csv,16,86.3434,0.1152,0.0833,retained,-0.06576054268617096
z_boson_data_1.csv,17,86.4394,0.1164,0.0934,retained,-0.09651310058167879
z_boson_data_1.csv,18,86.5354,1.1222,0.0754,prefit_residual_cut,13.153552534471823
z_boson_data_1.csv,19,86.6313,0.147,0.0568,retained,0.1986614260222569
z_boson_data_1.csv,20,86.7273,0.1388,0.066,retained,-0.03832298957600041
z_boson_data_1.csv,21,86.8232,0.1535,0.0906,retained,0.06871265763705404
z_boson_data_1.csv,22,88.8384,0.4081,0.0643,retained,-0.4174702620167722
z_boson_data_1.csv,23,88.9343,0.4371,0.0786,retained,-0.34131148984243526
z_boson_data_1.csv,24,89.0303,0.5119,0.0611,retained,0.2674988484276974
z_boson_data_1.csv,25,89.1263,0.5118,0.0823,retained,-0.22194421914788667
z_boson_data_1.csv,26,89.2222,0.5453,0.0585,retained,-0.38297097039691336
z_boson_data_1.csv,27,89.3182,0.6179,0.0744,retained,0.1215783946142326
z_boson_data_1.csv,28,89.4141,0.7149,0.067,retained,0.912608740681563
z_boson_data_1.csv,29,89.5101,0.6565,0.0646,retained,-0.7172139724122804
z_boson_data_1.csv,30,89.6061,0.6818,0.0589,retained,-1.266077308991136
z_boson_data_1.csv,31,fail,fail,fail,nonnumeric_or_wrong_column_count,
z_boson_data_1.csv,32,89.798,0.7766,0.0723,retained,-1.4023255777008423
z_boson_data_1.csv,33,89.8939,0.9962,0.0702,retained,0.7076248447781266
z_boson_data_1.csv,34,89.9899,0.9676,0.0587,retained,-0.9004728280451582
z_boson_data_1.csv,35,90.0859,1.0376,0.0712,retained,-0.8710678823798178
z_boson_data_1.csv,36,90.1818,1.0943,0.0824,retained,-1.0834121183268024
z_boson_data_1.csv,37,90.2778,1.2652,0.0907,retained,-0.07287673640348338
z_boson_data_1.csv,38,90.3737,1.3755,0.0687,retained,0.18135010999273615
z_boson_data_1.csv,39,90.4697,1.6452,0.067,retained,2.8262426751802048
z_boson_data_1.csv,40,90.5657,1.422,0.0713,retained,-1.7662340489973811
z_boson_data_1.csv,41,90.5857,1.422,0.0000,nonpositive_energy_or_uncertainty,
z_boson_data_1.csv,42,90.6616,1.477,0.0698,retained,-2.2845897961390462
z_boson_data_1.csv,43,92.6768,0.9047,0.0838,retained,0.8673924043373361
z_boson_data_1.csv,44,92.7727,0.7739,0.0739,retained,-0.004551375051404292
z_boson_data_1.csv,45,92.8687,0.7852,0.0733,retained,0.8750567833798499
z_boson_data_1.csv,46,92.9646,0.5972,0.0638,retained,-1.1769463616668494
